ratio product,selection probability
1.2582258397482338,0.0352
1.0301317419315719,0.1403
0.6583342797681787,0.1777
0.7830189057805469,0.1271
1.8467078582585856,0.0183
1.185481272360168,0.0734
1.1014884101039848,0.0503
0.3753349109709582,0.2099
1.184825288859408,0.0865
0.9239151270205543,0.0722
1.0124798680928468,0.1225
0.598573322071332,0.1088
1.0275915079151279,0.0774
0.5887606446603266,0.1432
0.8330768651045304,0.1044
1.342847919008528,0.0664
0.7158104949129833,0.1133
1.6170850061121522,0.047
1.0785592163997244,0.0896
0.9166916654913543,0.1068
0.9658509903490877,0.0739
1.4558979320584073,0.0759
1.0528601515523854,0.0611
1.0528601515523854,0.0626
0.6971618692360219,0.1174
1.481082263612347,0.0337
1.3606294549872506,0.0487
0.8831263331809099,0.091
1.526216811770072,0.0496
1.5900611049131366,0.0514
1.9353266865668883,0.0459
1.0563871899225115,0.0975
0.6746215720066243,0.0827
0.7148170332020528,0.0825
1.2369953223931345,0.0774
0.7263147819352336,0.1428
1.5606804595374755,0.0542
0.8750582702791128,0.0609
1.3114204331070607,0.0507
1.4960198184887825,0.0453
1.7485553318123275,0.0489
0.9530095794340212,0.1217
1.5062712791709156,0.0598
1.4218389730678533,0.0667
0.9325487295946236,0.0591
1.3431043929666182,0.0547
1.0275915079151279,0.0848
0.8386694097495873,0.1057
1.0241296973022318,0.118
0.5897707732173418,0.1349
1.4734635028007521,0.0445
0.8593007417917399,0.0877
0.5897707732173418,0.1383
0.8762217713801657,0.1371
1.6186795835866559,0.0523
0.6252758940442135,0.1347
1.471019097058677,0.0435
1.0777102476001525,0.1045
1.6497256867110028,0.0428
1.0065806717985872,0.1016
1.9186281819604987,0.0357
2.016284754484821,0.0423
1.01074574549029,0.1142
1.6497256867110028,0.043
1.6251435692655356,0.0242
1.9501722831186428,0.0156
1.1823847356518964,0.1001
1.5807966416152948,0.0467
1.7850491826605297,0.0537
0.7359508058254083,0.0659
1.3231001554936968,0.0652
1.3231001554936968,0.0623
0.9847714584519224,0.0916
0.9166916654913543,0.1042
1.0642952949576163,0.0496
1.893254367293695,0.0198
1.591002989884537,0.0285
1.2031750226939015,0.0721
1.594554877968732,0.0632
1.1688436762688512,0.0431
1.0326812231657703,0.0877
1.471019097058677,0.0449
1.5521556465746658,0.0542
1.202091147912761,0.0636
1.1484135763861698,0.0648
1.9906268360820454,0.0513
1.771709107532786,0.0523
1.2538326196772769,0.0934
0.8593007417917399,0.0906
0.7740064701091609,0.1259
0.576916700067931,0.1277
0.9071013341621406,0.0962
1.0147820267222811,0.0619
1.1495407152171218,0.1126
0.9510891013446882,0.0911
0.9826694747822265,0.1687
1.0393486868592452,0.065
1.0620666909436005,0.0622
1.0620208319716908,0.0554
1.0620666909436005,0.0588
1.01074574549029,0.1154
2.016284754484821,0.0398
1.1569954937246554,0.0977
1.0326812231657705,0.0826
0.6699099292814985,0.1251
0.9471298916074625,0.1525
0.9091006370979955,0.1429
0.9782630756688224,0.0875
0.602661937659251,0.1375
1.70931669377914,0.0531
1.2728023919076297,0.0855
1.6170850061121522,0.0517
0.5555116834612168,0.1418
1.9465652607476562,0.0187
0.9012566791338846,0.1103
0.8936628815973635,0.0688
1.4960198184887825,0.0495
1.6544692293717342,0.0325
1.772839543928242,0.0407
2.0919427190058273,0.0462
1.5387632418741766,0.044
1.237877167465053,0.0908
0.8831263331809099,0.0871
1.09574068067449,0.0795
0.8643367849958824,0.1118
1.3368471509605533,0.0797
1.9100346564835817,0.0574
0.4509145105754234,0.1587
1.591556358169354,0.0365
1.5287529400540638,0.0364
0.9300619329823709,0.08
0.8712701392389434,0.0794
0.5071303670299536,0.1523
1.6401135887678384,0.04
1.5900611049131366,0.0501
1.3282175638916387,0.0397
1.2752484319677042,0.0908
1.8409556453991844,0.045
0.8386694097495873,0.1024
0.7030824909305711,0.1553
1.1775123732621386,0.0761
1.6170850061121522,0.0486
0.845510848165792,0.0918
1.8942129770999196,0.0428
0.9078934774190419,0.0678
1.6466631683492654,0.0226
1.6186795835866559,0.0541
1.3217860921247817,0.0509
0.4209324304397376,0.2113
0.9545932040741627,0.0819
1.3704162253981298,0.0688
0.3038022731708716,0.1884
1.1973838737064468,0.0598
1.440670173719127,0.0813
1.772839543928242,0.0428
1.0923830052363377,0.0535
1.449109694112144,0.0865
0.9753100441010051,0.0814
1.4517949218772117,0.068
